homeType,RegionName,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
condo,Washington,304909,301956,298714,294721,290498,286195,282494,279273,276408,273516,270772,267995,264268,260851,257640,255437,253910,253116,252161,251126,249989,249477,249201,249126,249616,249598,250050,250352,250941,250779,250259,249629,248914,247885,246562,245894,245490,245833,245095,244143,242508,241450,240414,239611,238985,238513,238434,237824,237218,236595,237104,237869,238910,240000,241466,242714,243668,244905,246169,247864,249520,251031,252360,253682,255581,257371,258911,260667,262673,264425,265957,267044,268301,269387,270262,270901,270782,270531,270551,270554,270623,270429,270414,270349,269909,270108,270436,270757,270819,271088,271449,271718,271822,272248,272491,272989,273517,273195,272941,272883,273881,274426,274674,274796,275283,275729,276390,277096,278071,279378,280103,280772,280632,281109,281738,282666,283422,284164,284968,285403,285723,286171,287130,287942,289145,290170,291423,292060,292519,292895,293155,294003,295092,296301,297472,298424,299599,300349,301014,301918,303246,304686,306204,307492,308658,309696,310708,312057,313261,314851
condo,Miami,202037,197879,193016,188441,184026,179967,175825,171246,166361,161356,156713,152481,148664,145004,141557,138334,135084,132290,129571,127302,125271,123765,122392,120817,119609,118685,118078,117273,116440,115265,114283,113179,112214,110910,109748,108844,107868,106928,105967,105296,104691,104174,103719,103445,103248,103303,103540,103749,104037,104199,104525,104930,105633,106685,107661,108796,110024,111383,112486,113710,115193,117096,119065,121282,123358,125246,127196,129175,131177,132921,135117,137180,139193,140520,141919,142723,143764,144546,145737,146702,147620,148681,149144,149836,150248,151259,151974,152913,153606,154469,155001,155666,156514,157317,158456,159327,160414,161251,162166,163069,164005,165146,166259,167173,167814,168429,169221,170092,170969,171654,172138,172746,173349,173937,174451,175319,176165,177096,177364,177835,178029,178770,179640,180355,181094,181543,182272,182823,183351,183580,184398,185104,185814,185475,185418,185410,185547,185898,186279,186730,186966,187388,187609,187774,188027,188835,189373,189904,190289,190632
condo,Atlanta,174446,173177,171694,170476,169751,168831,167676,166449,165370,164246,162570,160237,157854,155987,154269,152335,150371,148808,147924,146968,146357,145457,145003,144483,143979,143174,142384,142107,141794,140945,139099,137100,134589,132591,130461,129248,127840,126809,125154,123387,121133,119238,117835,117115,116906,116620,116189,115191,114391,113622,113541,113448,113695,114162,114677,114832,114535,114424,114934,115690,116883,117969,119354,120848,122562,124394,126237,128342,130648,132750,134510,136291,137822,139507,140762,141839,142701,143287,144374,145327,146469,147487,148517,149639,150591,151357,152059,153137,154669,156363,157477,158519,159603,160638,161774,162462,163770,165043,166874,168456,169626,170362,170895,171641,172039,173278,174630,176607,177937,179506,180806,181978,183113,184675,186602,188362,190533,192250,193850,195400,197321,199301,200810,202238,203879,205751,207490,208961,210321,211878,213331,214257,214942,215099,215626,216338,217755,218259,218558,218698,219122,219396,219747,220374,221094,222100,223081,223973,224219,224961
condo,Boston,319239,316796,314948,313004,311470,309402,307391,305313,303314,301338,299546,297477,295742,293977,292131,290565,289386,288577,288099,287955,288281,288545,288750,289131,289643,290533,291235,291787,291856,291925,291555,290823,289441,288503,287557,287139,286596,285404,283811,282299,281197,280618,279684,278945,278130,277209,276494,275735,275327,275288,275853,276336,276818,276925,277774,278620,279723,281211,283205,285462,286980,289148,291263,293864,296112,298132,300346,302780,306014,308877,311063,312228,313484,314664,316306,318483,320343,322643,324016,325484,326128,326822,327816,330069,332799,335380,336978,337766,339063,340491,343079,345452,347578,349740,351449,353216,355524,357524,359698,361188,363425,365487,366773,368303,370519,372866,375578,377575,378935,380300,382217,385522,388144,390547,393293,395585,397969,399748,402254,404235,406350,408840,411798,414032,415862,417694,419721,421527,422535,424064,425143,426555,427284,427267,426204,425594,426008,427578,428541,429414,430391,431153,431692,432233,433194,434403,435920,437032,437564,437140
condo,San Francisco,594120,587663,582878,578569,573670,567759,560325,553688,547963,541861,533515,525430,516517,510200,504083,497006,490732,487041,485003,480116,474126,471680,473550,478729,481822,482712,480688,479791,479405,478128,474959,474306,473034,471405,467159,461374,457344,453187,451181,448237,443860,438367,435582,432458,431801,429337,427792,426274,423877,424203,424946,427549,431251,437369,443035,450095,456349,464138,471710,479432,491201,500093,511360,521240,535200,547856,559738,568588,576327,583457,591996,602163,609298,617602,621979,627461,628672,629922,632060,635398,639455,644341,651172,656781,660016,665506,674734,684952,693203,701859,712618,725346,738398,747865,752560,757641,767658,775589,777721,776958,778215,779627,776625,773184,770701,773851,778025,782346,783323,784263,786407,789253,793396,798407,805125,810634,817726,823580,832738,841432,849555,855257,863180,872640,881608,888926,894370,900115,902230,902685,899002,891078,884375,880381,876642,874494,876813,879190,881281,878689,879717,880868,882516,886619,889916,891814,891844,889270,882669,876068
condo,Seattle,304198,303291,301518,297422,292504,288340,286325,283334,279549,275934,273227,269265,267785,265753,264462,260344,257162,253942,251618,249546,248033,247234,246690,246802,243318,239828,235571,235172,235010,234041,231469,228214,225422,221895,218289,214678,212398,210720,208471,205421,200967,197424,193937,191478,188778,186518,184438,182593,181490,179607,178963,178433,179528,180719,182201,183506,185127,186977,189243,191363,192759,195349,198050,201390,204139,206338,209274,212225,215418,217971,219911,221856,224323,226377,227768,228477,229234,231133,232260,233284,233906,235672,237684,240109,242636,244493,246586,248421,251199,253247,255712,258944,262353,265380,268205,270776,273161,276438,280013,283996,287126,290468,293886,296877,299892,302632,306480,310762,315091,318769,321848,325802,330517,336290,342342,347602,352005,356946,360805,364973,368950,374744,380819,385912,389746,391537,391572,391107,392165,392803,392422,390183,387745,384785,382133,380010,379897,380059,381132,381936,382646,383405,385094,387834,390847,393578,396196,398839,400562,402988
1-bedroom,New York,377452,376795,375421,373860,371679,369697,367250,365485,363389,360721,357521,353791,347960,342344,337582,333438,330371,326670,324346,321247,319356,318639,318739,318394,319618,320804,321261,321487,321531,322957,323201,323120,322442,321293,319416,317692,315925,314854,314783,313981,312729,310673,309382,308855,308265,307212,306438,306038,305379,304148,301873,300700,299799,299730,299611,299723,300053,300892,301822,302805,304027,305195,307162,308654,310430,311917,313739,315316,316493,317729,319363,320954,322587,324660,327158,329594,331394,332488,333086,334208,335846,337412,338334,339631,342050,344421,346058,346924,348136,349771,351514,353090,354591,356216,358265,359898,359176,358089,356949,357887,358735,360036,361272,362349,362958,363636,364133,365037,366738,368677,370759,372165,374196,376297,378848,381117,383715,385939,388260,390244,392662,395131,397553,399380,400668,401272,401328,401480,402135,403180,404243,404616,404640,404253,404354,404491,405002,405423,406072,406499,406565,406400,406091,406294,406353,406555,406267,406197,405854,405759
1-bedroom,Los Angeles,384730,378270,370702,362106,353192,346754,341136,335789,330697,324748,318125,309298,303868,300295,297695,293534,289815,285202,281426,279235,278822,279010,279212,280831,279459,276871,274791,274973,276119,274568,272437,269483,266463,263461,259573,256805,254885,253885,251961,249512,245791,244421,243251,241986,239928,237627,237126,235962,235065,233816,233100,232882,233686,234746,236431,238046,240233,243579,246693,250793,254686,260356,266597,273649,279952,286218,291902,298873,305160,310088,313985,316806,319894,321000,321931,322091,322863,323367,324651,324317,324443,324686,326796,328837,331550,334357,337352,339199,341334,343366,345121,347170,349294,352008,353887,357029,358857,361412,362844,365819,368127,370457,372741,375727,379058,382063,384284,385599,388172,390209,392767,394274,397029,399908,402865,405454,408016,410684,414678,418693,421948,424990,428359,432029,435033,437745,440040,441361,441832,442409,442678,442056,441028,438853,436882,435773,437145,438967,440714,441569,443219,444657,445642,447170,448914,451554,453645,454925,454203,453075
1-bedroom,Chicago,183890,182031,182287,180144,180620,178403,178442,176664,176501,174871,173974,171572,169196,167359,165256,164523,162841,162193,161569,161212,159899,158816,157412,157486,156838,157092,155565,155272,153407,152879,149749,147943,145522,144201,141912,139764,137768,136011,134610,132480,131024,128832,127969,126467,125463,123272,122067,120387,119223,117138,116308,115474,115131,114372,113648,112998,112602,112835,113357,113852,114740,115890,116734,117752,118700,120301,121868,123774,125310,127288,128346,129669,130315,131376,131988,132288,132849,133648,134385,134730,135298,135621,136276,136845,137393,137626,138108,139116,139798,140002,140108,140440,140805,141121,141438,141967,142598,143774,144702,145405,146010,146738,147821,148681,149411,150096,151041,151830,152704,153289,154419,155356,156162,156757,157279,158119,158993,159747,160300,161115,162371,163345,163553,163555,163930,164519,164942,165155,165519,165950,166490,166851,166578,166271,166239,166690,167134,167374,167632,167790,167879,167953,167955,167949,168148,168504,168872,168977,168890,168851
1-bedroom,Washington,291345,289612,287947,284815,281658,278173,275413,273447,272238,271361,270361,268591,265132,261834,259096,258009,257256,257032,256577,255822,254960,254351,254136,254406,255362,256379,257061,257708,258493,259017,259008,258983,258476,257520,256234,255911,256145,256584,255985,254913,253678,252826,251980,251028,250542,250435,250713,250222,249687,249203,250066,250885,251673,252452,253977,255511,256822,258319,259862,261623,263025,264371,265631,267272,269554,271725,273186,274813,276400,278021,279240,280369,281764,282968,283851,284235,283912,283432,283467,283488,283562,283081,282907,282641,282070,281991,282071,282419,282597,282922,283195,283306,283409,283827,283932,284041,284288,283855,283634,283477,284152,284509,284563,284688,284877,285213,286089,287262,288565,289862,290320,290582,290099,290207,290682,291316,292092,292650,293157,293243,293119,293617,294522,295375,296552,297572,298834,299299,299586,299888,300247,300962,301792,302475,303786,305043,306499,307046,307484,308286,309604,311026,312397,313720,315115,316432,317320,318421,319441,321243
